place_ratings,place_name,category,city,price,rating,Image_URL,Latitude,Longitude
3,Candi Ratu Boko,Budaya,Yogyakarta,75000,4.6,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Kraton_Ratu_Boko_%28Ratu_Boko_Temple%29_in_Yogyakarta%2C_Indonesia_03.jpg/3840px-Kraton_Ratu_Boko_%28Ratu_Boko_Temple%29_in_Yogyakarta%2C_Indonesia_03.jpg,-7.7779947,110.4940445
2,Pantai Marina,Bahari,Semarang,3000,4.1,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Indonesia_location_map.svg/langid-1280px-Indonesia_location_map.svg.png,-6.9476655,110.3901407
5,Atlantis Water Adventure,Taman Hiburan,Jakarta,94000,4.5,https://upload.wikimedia.org/wikipedia/id/thumb/3/3e/Logo_Taman_Impian_Jaya_Ancol_%282022%29.svg/langid-960px-Logo_Taman_Impian_Jaya_Ancol_%282022%29.svg.png,,
3,Museum Kereta Ambarawa,Budaya,Semarang,10000,4.5,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/%22%2Barya%2B%22_stasiun_ambarawa_museum_2023_2.jpg/3840px-%22%2Barya%2B%22_stasiun_ambarawa_museum_2023_2.jpg,-7.2651797,110.4021659
4,Kampung Wisata Sosro Menduran,Budaya,Yogyakarta,0,4.0,https://picsum.photos/seed/KampungWisataSosroMenduran/400/250,,
2,Taman Hutan Raya Ir. H. Juanda,Cagar Alam,Bandung,11000,4.5,https://upload.wikimedia.org/wikipedia/commons/0/07/Taman_Hutan_Raya_IR_Djuanda.jpg,-6.8411686,107.6503782
5,Museum Gedung Sate,Budaya,Bandung,5000,4.6,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Museum_Gedung_Sate.jpg/3840px-Museum_Gedung_Sate.jpg,-6.9025816,107.6190825
4,Museum Taman Prasasti,Budaya,Jakarta,2000,4.5,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Tombstones_taman_prasasti.jpg/3840px-Tombstones_taman_prasasti.jpg,-6.1723712,106.8195429
2,Pantai Ngrawe (Mesra),Bahari,Yogyakarta,10000,4.5,https://picsum.photos/seed/PantaiNgrawe(Mesra)/400/250,,
5,Taman Harmoni Keputih,Cagar Alam,Surabaya,0,4.4,https://picsum.photos/seed/TamanHarmoniKeputih/400/250,-7.295047,112.8036032
3,Tugu Pal Putih Jogja,Taman Hiburan,Yogyakarta,0,4.7,https://upload.wikimedia.org/wikipedia/commons/1/1a/Yogyakarta_Indonesia_Tugu-Yogyakarta-01.jpg,-7.7829099,110.3670713
5,Taman Sungai Mudal,Cagar Alam,Yogyakarta,10000,4.6,https://picsum.photos/seed/TamanSungaiMudal/400/250,-7.7627101,110.1162841
3,De Mata Museum Jogja,Budaya,Yogyakarta,50000,4.4,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Armada_4A_Trans_Jogja.jpg/3840px-Armada_4A_Trans_Jogja.jpg,,
5,Surabaya North Quay,Taman Hiburan,Surabaya,50000,4.4,https://upload.wikimedia.org/wikipedia/commons/d/da/Jembatan_suroboyo_dusk.jpg,,
5,Museum Bahari Jakarta,Budaya,Jakarta,2000,4.4,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Museum_Bahari_Pintu_Masuk.jpg/3840px-Museum_Bahari_Pintu_Masuk.jpg,-6.1268288,106.8083185
4,Grand Maerakaca,Taman Hiburan,Semarang,15000,4.4,https://upload.wikimedia.org/wikipedia/commons/2/2e/Anjungan_Kota_Semarang.jpg,,
4,Margasatwa Muara Angke,Cagar Alam,Jakarta,25000,4.2,https://upload.wikimedia.org/wikipedia/commons/7/7b/Pelabuhan_Muara_Angke_%282022%29.jpg,-6.1079999,106.7660141
3,Curug Anom,Cagar Alam,Bandung,0,4.6,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Anom_Waterfall_Bottom_View.jpg/3840px-Anom_Waterfall_Bottom_View.jpg,,
3,Museum Konferensi Asia Afrika,Budaya,Bandung,0,4.6,https://upload.wikimedia.org/wikipedia/commons/8/84/Musium_KAA.jpg,-6.9210729,107.6096452
2,Taman Cattleya,Taman Hiburan,Jakarta,20000,4.5,https://upload.wikimedia.org/wikipedia/commons/5/55/PhalaenopsisOphrysPaphiopedilumMaxillaria.jpg,-6.1821561,106.7942912
3,Monumen Bambu Runcing Surabaya,Budaya,Surabaya,0,4.6,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Bambu_runcing%2C_Monumen_Jogja_Kembali.jpg/3840px-Bambu_runcing%2C_Monumen_Jogja_Kembali.jpg,,
3,Pasar Seni,Pusat Perbelanjaan,Jakarta,0,4.4,https://upload.wikimedia.org/wikipedia/id/thumb/3/3e/Logo_Taman_Impian_Jaya_Ancol_%282022%29.svg/langid-960px-Logo_Taman_Impian_Jaya_Ancol_%282022%29.svg.png,-6.1257002,106.8390728
4,Curug Tilu Leuwi Opat,Cagar Alam,Bandung,10000,4.4,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Curug_Bugbrug.jpg/3840px-Curug_Bugbrug.jpg,,
5,Museum Mandala Wangsit Siliwangi,Budaya,Bandung,0,4.4,https://upload.wikimedia.org/wikipedia/commons/d/d0/Museum_Mandala_Wangsit_Siliwangi.JPG,-6.9173055,107.6111041
2,Museum Wayang,Budaya,Jakarta,5000,4.5,https://upload.wikimedia.org/wikipedia/commons/9/99/Wayang_sejarah.jpg,-6.1348145,106.8125091
2,Gua Pawon,Cagar Alam,Bandung,10000,4.5,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Gua_Pawon.jpg/3840px-Gua_Pawon.jpg,-6.8236107,107.4362947
4,Perkebunan Teh Malabar,Cagar Alam,Bandung,5000,4.4,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Gunung_Malabar.jpg/3840px-Gunung_Malabar.jpg,,
2,Masjid Pusdai,Tempat Ibadah,Bandung,0,4.7,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Two_Trans_Metro_Bandung%27s_Nucleus_Bus_at_Cicaheum.jpg/3840px-Two_Trans_Metro_Bandung%27s_Nucleus_Bus_at_Cicaheum.jpg,-6.9001383,107.6262202
2,Taman Ismail Marzuki,Budaya,Jakarta,5000,4.6,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Plaza_Taman_Ismail_Marzuki.jpg/3840px-Plaza_Taman_Ismail_Marzuki.jpg,-6.189155,106.8398854
2,Bentara Budaya Yogyakarta (BBY),Budaya,Yogyakarta,0,4.5,https://upload.wikimedia.org/wikipedia/commons/8/81/Gallery_room_of_Bentara_Budaya_Yogyakarta.jpg,,
5,Kota Tua,Budaya,Jakarta,0,4.6,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Batavia_City_Hall_%28Jakarta_History_Museum%29_Fatahillah_Square_%282025%29_-_img_02.jpg/3840px-Batavia_City_Hall_%28Jakarta_History_Museum%29_Fatahillah_Square_%282025%29_-_img_02.jpg,-6.1368624,106.8150708
4,Bukit Jamur,Cagar Alam,Bandung,0,4.2,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Sunrise_dibukit_jamur.jpg/3840px-Sunrise_dibukit_jamur.jpg,,
3,Gereja Katedral,Tempat Ibadah,Jakarta,0,4.8,https://upload.wikimedia.org/wikipedia/commons/e/e0/Jakarta_Indonesia_Jakarta-Cathedral-10.jpg,-6.1692046,106.8332373
4,Taman Pintar Yogyakarta,Taman Hiburan,Yogyakarta,6000,4.5,https://upload.wikimedia.org/wikipedia/commons/f/fb/Taman_Pintar_Yogyakarta.jpg,-7.8010497,110.3676457
3,Wisata Eling Bening,Cagar Alam,Semarang,25000,4.3,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Ambarawa_Bypass_Road_from_Eling_Bening%2C_2017-03-15.jpg/3840px-Ambarawa_Bypass_Road_from_Eling_Bening%2C_2017-03-15.jpg,,
5,Hutan Kota Srengseng,Taman Hiburan,Jakarta,1000,4.3,https://upload.wikimedia.org/wikipedia/commons/e/e2/Taman_kota_di_srengseng_jakarta.jpg,-6.2107961,106.7646791
2,Puncak Pinus Becici,Taman Hiburan,Yogyakarta,3000,4.5,https://upload.wikimedia.org/wikipedia/commons/d/d9/Puncak_Pinus_Becici.jpg,-7.9012592,110.4372592
2,Bangsal Pagelaran,Budaya,Yogyakarta,5000,4.6,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Yogyakarta_Sultanate_Hamengkubhuwono_X_Emblem.svg/langid-500px-Yogyakarta_Sultanate_Hamengkubhuwono_X_Emblem.svg.png,-7.8053068,110.3642689
2,Pantai Krakal,Bahari,Yogyakarta,10000,4.5,https://upload.wikimedia.org/wikipedia/commons/3/38/Matahari_terbenam_di_Pantai_Slili.jpg,-8.1317391,110.5449125
3,Museum TNI AL Loka Jala Crana,Budaya,Surabaya,2000,4.5,https://picsum.photos/seed/MuseumTNIALLokaJalaCrana/400/250,,
2,Brown Canyon,Cagar Alam,Semarang,0,4.2,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Brown_Canyon_1.jpg/3840px-Brown_Canyon_1.jpg,-7.0578875,110.4880281
5,Gereja Perawan Maria Tak Berdosa Surabaya,Tempat Ibadah,Surabaya,10000,4.8,https://upload.wikimedia.org/wikipedia/commons/e/eb/Church_of_the_Birth_of_Our_Lady%2C_Surabaya%2C_2025_%2801%29.jpg,,
2,Candi Donotirto,Budaya,Yogyakarta,0,4.4,https://picsum.photos/seed/CandiDonotirto/400/250,-7.7955912,110.3612347
3,Museum Gunung Merapi,Budaya,Yogyakarta,10000,4.4,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Museum_Gunungapi_Merapi.jpg/3840px-Museum_Gunungapi_Merapi.jpg,-7.6188698,110.4240986
5,Taman Ekspresi Dan Perpustakaan,Taman Hiburan,Surabaya,0,4.5,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Plaza_Taman_Ismail_Marzuki.jpg/3840px-Plaza_Taman_Ismail_Marzuki.jpg,,
4,Gereja Perawan Maria Tak Berdosa Surabaya,Tempat Ibadah,Surabaya,10000,4.8,https://upload.wikimedia.org/wikipedia/commons/e/eb/Church_of_the_Birth_of_Our_Lady%2C_Surabaya%2C_2025_%2801%29.jpg,,
3,Taman Sungai Mudal,Cagar Alam,Yogyakarta,10000,4.6,https://picsum.photos/seed/TamanSungaiMudal/400/250,-7.7627101,110.1162841
2,Tektona Waterpark,Taman Hiburan,Bandung,60000,3.8,https://picsum.photos/seed/TektonaWaterpark/400/250,,
